g,g,g,t,w,w,w,t,t,t,b,b,b,b,g,g,t,t,t,t
g,g,g,t,w,w,t,e1,t,g,d,g,g,b,s,g,g,t,t,t
g,g,g,s,w,t,t,e2,e3,g,g,g,g,g,g,g,g,g,d,t
b,b,g,g,g,g,g,g,g,g,g,g,t,t,t,g,g,g,g,g
t,b,g,g,g,g,g,g,g,g,t,t,t,t,t,g,g,g,g,g
t,t,g,g,g,t,d,g,g,g,t,t,t,t,t,t,t,d,g,g
w,t,g,g,g,d,t,e1,t,g,t,t,t,t,t,t,t,t,g,g
w,t,g,g,g,t,t,t,t,t,b,b,t,t,t,t,t,t,s,g
w,t,g,g,t,t,w,w,w,w,w,b,b,g,t,t,t,t,b,g
w,t,g,t,t,w,w,w,e2,t,w,w,b,g,g,g,t,t,t,b
w,t,g,e1,w,w,w,e3,e1,e3,t,w,w,e1,t,g,t,t,b,b
w,t,g,w,w,w,e2,g,e2,e3,w,w,w,w,t,g,s,t,t,t
w,s,g,w,w,w,w,g,g,w,w,w,w,w,e1,g,g,t,t,t
t,g,g,w,w,w,w,w,g,w,w,w,w,w,t,g,g,t,t,t
t,g,e1,g,w,w,w,w,g,w,w,w,w,t,t,g,g,t,t,t
t,g,g,g,e1,w,w,w,g,w,w,w,t,t,g,g,t,t,t,t
t,d,g,g,e1,g,w,w,g,w,w,t,t,g,g,t,t,t,t,t
t,t,b,g,g,g,g,t,g,t,t,g,e1,g,g,t,t,t,t,t
t,t,b,b,t,g,g,g,g,g,g,g,g,g,t,t,t,t,t,t
t,t,t,t,t,g,g,g,g,s,g,g,g,t,t,t,t,t,t,t
